Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag,DOY,site
5/16/2018 10:22,1.414,23.1542,1.8058,0.6538,111.606,107.492667,8.5991,100.566,7.939,255.2762,48.089,6.595965946,0.041,0,136.4323843,ccr50
5/16/2018 10:22,1.427,23.1534,1.8031,0.6437,111.607,107.494789,8.5858,100.411,7.942,255.4386,47.98,6.596146814,0.037,0,136.4323843,ccr50
5/16/2018 10:22,1.432,23.1519,1.7874,0.6508,111.626,107.513572,8.5699,100.226,7.945,255.5089,47.884,6.597578643,0.031,0,136.4323843,ccr50
5/16/2018 10:22,1.435,23.1513,1.7534,0.6176,111.641,107.528532,8.5566,100.071,7.949,255.4376,47.775,6.598622949,0.026,0,136.4323843,ccr50
5/16/2018 10:22,1.439,23.1516,1.7422,0.6079,111.661,107.548171,8.5465,99.953,7.951,255.3503,47.635,6.599853006,0.022,0,136.4323843,ccr50
5/16/2018 10:22,1.445,23.152,1.7524,0.6564,111.674,107.559776,8.5372,99.844,7.954,255.3999,47.517,6.600622057,0.022,0,136.4323843,ccr50
5/16/2018 10:22,1.45,23.1522,1.7481,0.6855,111.656,107.541354,8.531,99.771,7.956,255.5219,47.452,6.599445062,0.024,0,136.4323843,ccr50
5/16/2018 10:22,1.456,23.1525,1.7453,0.6848,111.632,107.516675,8.5339,99.804,7.958,255.5335,47.358,6.597870977,0.026,0,136.4323843,ccr50
5/16/2018 10:22,1.463,23.1525,1.7557,0.6774,111.634,107.51637,8.546,99.943,7.959,255.5412,47.18,6.597997878,0.026,0,136.4323843,ccr50
5/16/2018 10:22,1.472,23.1525,1.7632,0.6886,111.659,107.537662,8.5623,100.132,7.959,255.6144,46.963,6.599590458,0.025,0,136.4323843,ccr50
